clean_text,label
help flood happening at whitefield bangalore,flood
hello there is a flood near nh48 highway,flood
mg road bangalore alli crime aagide,crime
building collapse near majestic bus stand several people injured,building collapse
earthquake near kr market bangalore,earthquake
hello there is a flood near silk board bangalore,flood
whitefield bangalore pe gas leak ho gaya,gas leak
indiranagar metro station pe fire ho gaya,fire
hello there is a gas leak near electronic city,gas leak
medium earthquake near electronic city,earthquake
hello there is a fire near nh48 highway,fire
help fire happening at silk board bangalore,fire
nh48 highway pe gas leak ho gaya,gas leak
kr market bangalore pe fire ho gaya,fire
hebbal flyover alli fire aagide,fire
accident near electronic city several people injured,accident
silk board bangalore alli flood aagide,flood
fire near hebbal flyover two people injured,fire
kr market bangalore pe crime ho gaya,crime
hello there is a flood near electronic city,flood
low crime near majestic bus stand,crime
high flood near kr market bangalore,flood
nh48 highway alli flood aagide,flood
low accident near whitefield bangalore,accident
help earthquake happening at whitefield bangalore,earthquake
hello there is a earthquake near hebbal flyover,earthquake
medium crime near mg road bangalore,crime
accident near silk board bangalore several people injured,accident
hello there is a earthquake near tumkur road,earthquake
help building collapse happening at whitefield bangalore,building collapse
majestic bus stand pe building collapse ho gaya,building collapse
hello there is a accident near hebbal flyover,accident
help earthquake happening at tumkur road,earthquake
electronic city pe fire ho gaya,fire
flood near indiranagar metro station,flood
earthquake near whitefield bangalore several people injured,earthquake
help earthquake happening at electronic city,earthquake
accident near majestic bus stand one person injured,accident
accident near indiranagar metro station,accident
help building collapse happening at whitefield bangalore,building collapse
indiranagar metro station pe crime ho gaya,crime
gas leak near hebbal flyover three people injured,gas leak
indiranagar metro station pe building collapse ho gaya,building collapse
mg road bangalore alli fire aagide,fire
gas leak near nh48 highway,gas leak
crime near tumkur road two people injured,crime
medium gas leak near nh48 highway,gas leak
majestic bus stand pe flood ho gaya,flood
low accident near silk board bangalore,accident
help building collapse happening at nh48 highway,building collapse
high flood near nh48 highway,flood
help flood happening at electronic city,flood
flood near hebbal flyover three people injured,flood
gas leak near majestic bus stand,gas leak
hello there is a crime near electronic city,crime
earthquake near kr market bangalore,earthquake
fire near kr market bangalore,fire
tumkur road pe earthquake ho gaya,earthquake
high accident near tumkur road,accident
hello there is a flood near majestic bus stand,flood
flood near nh48 highway,flood
flood near silk board bangalore two people injured,flood
earthquake near majestic bus stand,earthquake
earthquake near silk board bangalore two people injured,earthquake
indiranagar metro station alli flood aagide,flood
whitefield bangalore alli flood aagide,flood
whitefield bangalore alli gas leak aagide,gas leak
help crime happening at majestic bus stand,crime
accident near kr market bangalore,accident
earthquake near tumkur road,earthquake
majestic bus stand alli earthquake aagide,earthquake
tumkur road pe building collapse ho gaya,building collapse
earthquake near majestic bus stand one person injured,earthquake
silk board bangalore pe crime ho gaya,crime
gas leak near kr market bangalore two people injured,gas leak
earthquake near whitefield bangalore one person injured,earthquake
help gas leak happening at majestic bus stand,gas leak
indiranagar metro station pe fire ho gaya,fire
accident near electronic city three people injured,accident
hello there is a crime near majestic bus stand,crime
kr market bangalore pe crime ho gaya,crime
fire near kr market bangalore,fire
kr market bangalore alli earthquake aagide,earthquake
fire near mg road bangalore,fire
tumkur road alli flood aagide,flood
tumkur road pe building collapse ho gaya,building collapse
hello there is a building collapse near kr market bangalore,building collapse
silk board bangalore alli gas leak aagide,gas leak
hello there is a gas leak near nh48 highway,gas leak
building collapse near majestic bus stand three people injured,building collapse
building collapse near whitefield bangalore,building collapse
indiranagar metro station pe accident ho gaya,accident
help gas leak happening at kr market bangalore,gas leak
help earthquake happening at hebbal flyover,earthquake
medium accident near kr market bangalore,accident
accident near kr market bangalore,accident
hebbal flyover alli fire aagide,fire
tumkur road pe building collapse ho gaya,building collapse
hebbal flyover pe fire ho gaya,fire
accident near majestic bus stand,accident
mg road bangalore pe fire ho gaya,fire
hello there is a gas leak near nh48 highway,gas leak
mg road bangalore alli flood aagide,flood
flood near silk board bangalore,flood
earthquake near hebbal flyover,earthquake
earthquake near whitefield bangalore three people injured,earthquake
low gas leak near hebbal flyover,gas leak
earthquake near indiranagar metro station,earthquake
hello there is a crime near nh48 highway,crime
kr market bangalore alli gas leak aagide,gas leak
crime near majestic bus stand two people injured,crime
help fire happening at tumkur road,fire
medium earthquake near tumkur road,earthquake
hello there is a accident near nh48 highway,accident
earthquake near indiranagar metro station,earthquake
medium fire near hebbal flyover,fire
high crime near kr market bangalore,crime
high gas leak near mg road bangalore,gas leak
building collapse near nh48 highway several people injured,building collapse
gas leak near majestic bus stand three people injured,gas leak
hello there is a crime near nh48 highway,crime
building collapse near mg road bangalore two people injured,building collapse
medium building collapse near kr market bangalore,building collapse
low earthquake near tumkur road,earthquake
hello there is a earthquake near mg road bangalore,earthquake
low flood near indiranagar metro station,flood
crime near hebbal flyover,crime
flood near whitefield bangalore,flood
flood near silk board bangalore several people injured,flood
kr market bangalore pe gas leak ho gaya,gas leak
fire near majestic bus stand,fire
gas leak near tumkur road two people injured,gas leak
mg road bangalore alli flood aagide,flood
whitefield bangalore alli crime aagide,crime
crime near majestic bus stand two people injured,crime
majestic bus stand alli gas leak aagide,gas leak
hebbal flyover pe crime ho gaya,crime
medium fire near silk board bangalore,fire
low gas leak near silk board bangalore,gas leak
indiranagar metro station pe gas leak ho gaya,gas leak
hello there is a fire near hebbal flyover,fire
accident near silk board bangalore three people injured,accident
fire near nh48 highway,fire
electronic city pe accident ho gaya,accident
nh48 highway pe crime ho gaya,crime
whitefield bangalore alli earthquake aagide,earthquake
medium fire near hebbal flyover,fire
help fire happening at nh48 highway,fire
low accident near indiranagar metro station,accident
hebbal flyover pe flood ho gaya,flood
hello there is a gas leak near nh48 highway,gas leak
earthquake near tumkur road three people injured,earthquake
tumkur road alli gas leak aagide,gas leak
high crime near silk board bangalore,crime
hello there is a accident near nh48 highway,accident
building collapse near majestic bus stand,building collapse
majestic bus stand pe earthquake ho gaya,earthquake
hello there is a building collapse near nh48 highway,building collapse
hello there is a flood near mg road bangalore,flood
accident near indiranagar metro station several people injured,accident
mg road bangalore alli gas leak aagide,gas leak
hello there is a accident near tumkur road,accident
hello there is a gas leak near tumkur road,gas leak
hebbal flyover pe fire ho gaya,fire
building collapse near whitefield bangalore two people injured,building collapse
crime near electronic city several people injured,crime
crime near whitefield bangalore,crime
